comment_v1,comment_v2,type,sentiment
আজ রাত ৪২০ শুনলাম যা আমার জীবনের সাথে গানটার সাথে অনেক মিলে গেছে,রাত শুন জীবন সাথে গান সাথে মিলে,0,2
fantastic song ,fantast song,2,2
ক্লান্ত লাগছে আজ স্মৃতি রেখে গেলাম  নোটিফিকেশন পেলে আবার শুনতে আসব,ক্লান্ত লাগ স্মৃতি গেল নোটিফিকেশন পাল শুন আসব,0,0
i39ve watched it a thousand times myself i love the way it39s created with this song,ive watch thousand time love way it creat song,2,2
আমি তো histry পরীক্ষার দিন science পরে চলে গেসলাম,histri পরীক্ষ scienc গেস,0,0
prottoy you are significant other sweet,prottoy signific sweet,0,2
প্রতিদিন দুই থেকে তিনবার শুনি,প্রতিদিন তিনব শুনি,1,1
gaja khor ta ke niye roast chai,gaja khor ta ke niy roast chai,0,0
কলিযুগে আরজে কত দেখব আর দাদাভাই পশ্চিমবাংলায় কোন চাকরি নেই ওই যে বলল না চা বিক্রি করার চপ বিক্রি করো ইঞ্জিনিয়ার পরেও লাভ নেই ডাক্তারি পড়লে সন্দীপ ঘোষের মতন তৈরি হবে একটা একটা,কলিযুগে আরজে দেখব দাদাভা পশ্চিমবাংলায় চাকরি না চা বিক্রি চপ বিক্রি করো ইঞ্জিনিয় লাভ ডাক্তারি পড়লে সন্দীপ ঘোষ মতন তৈরি এক এক,2,0
the b is impnotzante,b impnotzant,1,1
তবে কি এভাবেই কাটবে জীবনএ দেয়াল ভাঙবো কবে,এভাবে কাটবে জীবনএ দেয়াল ভাঙবো,0,0
২৫ এ হায়াতের যত দিন যায়রূহের ব্যাথা ততই বাড়তে থাকে,হায়াত যায়রূহ ব্যাথা তত বাড়,0,0
ahare show,ahar show,1,1
durga are or our mohisasur sami stri,durga mohisasur sami stri,0,1
bonguy the pago choda,bonguy pago choda,0,0
who thinks this song crosses 1000 cr views in future from,think song cross cr view futur,4,1
vai apnar ganer prama pora gace really,vai apnar ganer prama pora gace realli,0,0
who is listening in october 7 please like the comment,listen octob pleas like comment,3,1
coldplay your beauty,coldplay beauti,1,1
rozaka somman koro,rozaka somman koro,1,1
আমার শোনা সেরা গান,শোনা গান,2,2
sera bro,sera bro,0,1
jeet er production house theke boss2 bachcha sosur panther asur ei cinema gulo esche tai son of a btch remake noi are or our baler srk er faltu cinemar theke salman khan er commercial cinema onek valo bujhli be baler bong guy,jeet er product hous theke boss bachcha sosur panther asur ei cinema gulo esch tai son btch remak noi baler srk er faltu cinemar theke salman khan er commerci cinema onek valo bujhli baler bong guy,2,0
dada game hole asbo for sure,dada game hole asbo sure,2,0
গান তেমন শুনা হয় নাহ তবে হঠাৎ করে কেমন করে জানি এই গানটির প্রেমে পরে গেলাম গত ২০২৪ এর জুলাই এর মাঝামাঝি এই গানটি প্রিয় গান হয়ে গেলো শৈশব টা কে খুব মিস করি মিস করি শৈশবের সেই প্রিয় বন্ধুদের,গান শুনা নাহ হঠাৎ কেমন জানি গান প্রেম গেল জুলা মাঝামাঝি গান প্রিয় গান গেলো শৈশব মিস মিস শৈশব প্রিয় বন্ধু,0,2
emni somoy ki speed e likhi but maths er somoy ami gota class e akai boshe thaki,emni somoy ki speed e likhi math er somoy ami gota class e akai bosh thaki,0,0
ছোট বেলা কখনোই ভোলা যায় না,বেলা কখনো ভোলা না,0,2
আমি তো ১৭ তে মরেছি,তে মরে,0,0
i like this vidio,like vidio,2,2
games er arrange koro,game er arrang koro,1,1
mastar rintu chete dilo gooo,mastar rintu chete dilo gooo,0,2
ভাই আমি তিনদিন পর ভিডিওটি দেখছি  গাঁড় ফাটা ভিডিও,ভাই তিনদিন ভিডিও দেখ গাঁড় ফাটা ভিডি,0,0
134 কেন আমি সেই আমি নই,নই,0,0
給看這個留言的你你是有價值帥哥美女是漂亮大天使我非常尊敬佩服你鞠躬你有能力做你下定決心要做的一切祝你每天微笑祝你堅強為夢想努力事事順利 祝你健康平安一生平安祝你的日子都會充滿快樂和愛 上帝保佑你,給看這個留言的你你是有價值帥哥美女是漂亮大天使我非常尊敬佩服你鞠躬你有能力做你下定決心要做的一切祝你每天微笑祝你堅強為夢想努力事事順利 祝你健康平安一生平安祝你的日子都會充滿快樂和愛 上帝保佑你,0,2
এই পঁচিশ টা বাস্তব জীবন এখানে না আছে আবেগ না আছে চঞ্চলতাএই পঁচিশ সফলতার খোঁজে পেয়ে যাওয়া হতাশা পঁচিশের মৃত্যু যার জীবনে ঘটে সেই জন বুঝতে পারে,পঁচিশ বাস্তব জীবন না আবেগ না চঞ্চলতাএ পঁচিশ সফলত খোঁজে হতাশা পঁচিশ মৃত্যু জীবনে ঘটে বুঝ,0,0
দাদা আরো নতুন ভিডিও বানাও আর পরের ভিডিও তে আমার নাম নিও,দাদা আরো ভিডি বানা পর ভিডি তে নিও,1,2
তুমি কিভাবে জানলে আমি দিদিভাই এইইইইইইই ভাই,জানলে দিদিভা এইইইইইইই ভাই,0,0
and listen in september ,listen septemb,4,1
২৫ না আমিতো ২০ এই মরে গেছি বেঁচে থাকার অভিনয় করেই চলছে জিবন,না আমি মরে গেছি বেঁচে থাকা অভিনয় চল জিবন,0,0
কে কে ১৮  বয়েসি,বয়েসি,4,1
vai gan ta sunle chuk er pani chole asche,vai gan ta sunl chuk er pani chole asch,0,0
sera sera ,sera sera,0,1
শিক্ষক বল তো মাছ জলে কেন থাকে ছাত্র কারণ ওরা যদি হাওয়ায় থাকত তবে নাম হতো quotপাখিquot,শিক্ষক বল মাছ জলে ছাত্র হাওয়ায় থাকত হত quotপাখিquot,2,2
25 e,e,1,1
২০২০ সালের জুলাই মাসের ৫ তারিখ আপনার ইউটিউবে মুক্তি পাওয়া গানটি ৫ বছর পর ২০২৫ এ এসেও নতুন লাগছে,সাল জুলা মাস ইউটিউবে মুক্তি পাওয়া গান এসে লাগ,2,2
good jod,good jod,2,2
amra kiran dar video etotai miss kori je video er notification pawa matroi chole asi video dekhte,amra kiran dar video etotai miss kori je video er notif pawa matroi chole asi video dekht,0,0
thank for funny video,thank funni video,2,2
আমি নিজেই ভালো না তাই এগো কিছু কইতারলামনা,ভালো না এগো কইতারলামনা,0,0
vanga pa niye tomar video ta dekhchhilamhaste haste mne hochhe payer plaster ta loose hoye gelo,vanga pa niy tomar video ta dekhchhilamhast hast mne hochh payer plaster ta loos hoy gelo,0,0
2098 anyone,anyon,1,1
tup tup awaaz ta sera,tup tup awaaz ta sera,0,1
me obhineta,obhineta,1,1
ostir brooi like it,ostir brooi like,2,2
গানটা খুব সুন্দর কোথায় গেল ওই দিন,গান সুন্দর কোথায়,0,2
mobil bhar ta osadharon,mobil bhar ta osadharon,0,1
nostalgie,nostalgi,0,1
just woooow,woooow,0,2
হায় আল্লাহ,আল্লাহ,0,1
dada ami,dada ami,1,1
20 শে মরে গিয়েছি,শে মরে গিয়ে,0,0
hi instant message new here,hi instant messag new,1,1
sabbir ornob vai okay na dekhlekmn jeno kharap lage,sabbir ornob vai okay na dekhlekmn jeno kharap lage,0,0
tukbu kitu anupom roy er moto epic line,tukbu kitu anupom roy er moto epic line,0,2
ভিডিও দেখে আজ এতো হেসেছি যে কি বলবো  আমি 11 জন যে শেয়ার করেছি তারা যা যা কমেন্ট করেছে সেটা বলার মতো না সত্যি এতো রোস্ট দেখেছি কিন্তু আজ সত্যি চালিয়ে যাও হবে হবে একদিন নিজেকে নিয়েও রোস্ট করো দেখি ,ভিডি এত হেসেছি বলবো শেয় করে কমেন্ট বল না সত্যি এত রোস্ট দেখেছি সত্যি চালা যাও একদিন নিয়ে রোস্ট করো দেখি,0,2
well india is always a masterpiece after 9 years toooooooooooooooooooooooooooooooooooooo,well india alway masterpiec year toooooooooooooooooooooooooooooooooooooo,2,2
বহুকাল বেঁচে থাকবে এই গানযখনই কেউ বাস্তবতা বুঝতে শিখবে সে ব্যাক্তি এই গানের মানে বুঝবেযারা এই গান শুনবেনঅবশ্যই যাওয়ার আগে একটা লাইক দিয়ে যাবেন যাতে আমি আবার শুনতে আসতে পারি,বহুকাল বেঁচে গানযখন বাস্তবতা বুঝ শিখবে ব্যাক্তি গান বুঝবেযা গান শুনবেনঅবশ্য এক লাইক যাব শুন আস,0,2
bhaigiri nandidi,bhaigiri nandidi,0,2
কিছু মানুষ মরে যায় মরে যায় পঁচিশেতারপর মরে গিয়েও বহুকাল বাচে সে এই লাইন টা,মরে যায় মরে যায় পঁচিশেতারপর মরে গিয়ে বহুকাল বাচে,0,0
ami to exam dite gia 15 min gumai dia taratari likhe jomaa dia di,ami exam dite gia min gumai dia taratari likh jomaa dia di,1,1
new friend,new friend,1,1
it is very funny video you are very funny,funni video funni,2,2
sey vai,sey vai,0,0
exam ditee gia  tmr video ta vabcchi  ki mil,exam dite gia tmr video ta vabcchi ki mil,0,1
very good brother,good brother,2,2
i am feel proud for my country,feel proud countri,0,2
obhineta,obhineta,0,1
oh bhai,oh bhai,0,1
প্রতিটি লাইন জীবনের সাথে জড়িয়ে আছেধন্যবাদ এতো সুন্দর একটা বাস্তব মুখী গান শোনানোর জন্যে,প্রতি জীবন সাথে জড়া আছেধন্যবাদ এত সুন্দর এক বাস্তব মুখী গান শোনানোর জন্যে,0,2
12 june plane crash memory song,june plane crash memori song,1,1
mrbin er copy,mrbin er copi,0,0
মরে গেছি ১৭ তে,মরে গেছি তে,0,0
onk onk sundor,onk onk sundor,0,2
এটা আমার প্রিয় ভিডিও,প্রিয় ভিডি,2,2
বেনজিনের চারপাশে ঘুরতে ঘুরতে হাপিয়ে গেলাম,বেনজিনের চারপাশে ঘুর ঘুর হাপা গেল,0,2
চোখে অজান্তেই পানি চলে আসলোকেন আসলো আমি নিজেও জানি না কিন্তু সত্যি কোথায় হারিয়ে গেল সেই সোনালী শৈশব,চোখে অজান্তে পানি আসলোক আসলো নিজে জানি না সত্যি কোথায় হারা সোনালী শৈশব,0,0
anyone 2025 july 23 ,anyon juli,4,1
আপনার সব লিরিক্স সিমিলার,লিরিক্স সিমিল,2,0
someone in 2025,someon,1,1
very funny,funni,2,2
wowamazinglove you prank king,wowamazinglov prank king,0,2
saw him preform this in las vegas at eye heart awesome i love how he rocks back in forth when playing keyboard ,saw preform la vega eye heart awesom love rock back forth play keyboard,2,2
এটি কোন গান নয় প্রতিটি মধ্যবিও ছেলের জীবন প্রতিটি লাইনে মধ্যবিও একটি ছেলে তার জীবণের সত্যতা দেখতে পাবে পুরো গানটির লিরিকে ভিতরের নিজেকে আবিষ্কার করেছি আহা জীবন কমেন্ট রেখে যাচ্ছি যতবার নোটিফিকেশন পাবো ঠিক ততোবারই শুনবো,গান প্রতি মধ্যবি ছেলের জীবন প্রতি লাইনে মধ্যবি ছাল জীবণ সত্যতা পাবে পুরো গান লিরি ভিতর আবিষ্ক করে আহা জীবন কমেন্ট যাচ্ যতব নোটিফিকেশন পাবো ততোব শুনবো,2,2
prottoy tomar ovinoy onek sundor,prottoy tomar ovinoy onek sundor,0,2
ami mathematics a 100 persentage,ami mathemat persentag,1,1
dada ami aste chai,dada ami ast chai,0,1
এই যে গান টা বাস্তব চিত্র তুলে দিল এই ২৫ বছরের সব দেহের মৃত্যুর অপেক্ষা শুধু এখন,গান বাস্তব চিত্র দিল বছর দেহের মৃত্যুর অপেক্ষা,2,1
